#TrapElectrode	Analog Signal	dsubNumber
Q32	1	208
L2	2	218
T10	2	218
Y10	3	206
Q34	4	205
Y14	5	204
Q38	6	203
Q50	7	202
Q42	8	201
T14	9	216
Q20	10	215
T04	11	214
L3	12	213
Q18	13	212
Q22	14	211
Q10	15	210
Q08	16	209
L5	17	224
Q54	18	223
Y13	19	222
Y11	20	221
Q30	21	220
L8	22	219
Q40	23	243
Q24	24	217
Q12	25	233
Q04	26	232
L1	27	231
Q02	28	229
T12	29	228
Q39	30	227
Q52	31	226
L7	32	225
Q44	33	242
Q37	34	241
L6	35	240
Y15	36	239
Q46	37	238
Y08	38	236
Q16	39	235
Q35	40	234
Q06	41	230
T02	42	250
T06	43	249
Q14	44	248
T08	45	247
Q15	46	246
Q26	47	245
Q36	48	244
Q21	49	108
Q01	50	107
CenterDC 1	51	106
T05	52	105
T13	53	104
Q11	54	103
Q27	55	102
Q07	56	101
Q33	57	116
Y04	58	115
Y07	59	114
Y18	60	113
Y05	61	112
Y17	62	111
Q47	63	110
Q53	64	118
T07	65	124
T03	66	123
NC2	67	122
Q03	68	121
T01	69	120
Q19	70	119
Q17	70	119
Q25	71	143
Q29	72	117
Y03	73	130
Q49	74	132
Y01	75	131
Q51	76	129
CenterDC	77	128
Q45	78	127
Q31	79	126
T09	80	125
Q13	81	142
Q05	82	141
NC1	83	140
Q09	84	139
L4	85	138
Q23	86	136
Y12	87	135
Y02	88	134
Q41	89	151
Y09	90	150
Q48	91	149
Y06	92	148
Y16	93	147
Q28	94	146
Q43	95	145
T11	96	144
